State,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.
Alabama,5.5,5.3,5,4.8,4.6,4.3,4.1,4,3.9,3.8,3.8,3.8
Alaska,7,7,7.1,7.1,7.1,7.2,7.2,7.2,7.2,7.2,7.2,7.2
Arizona,5.2,5.1,5.1,5,4.9,4.8,4.7,4.7,4.7,4.7,4.7,4.7
Arkansas,3.7,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.7
California,5.2,5.1,5,5,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5
Colorado,2.8,2.7,2.6,2.6,2.6,2.7,2.8,2.9,3,3,3,3
Connecticut,4.9,4.9,4.9,4.8,4.7,4.7,4.6,4.5,4.5,4.5,4.5,4.5
Delaware,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5
D.C.,6,6.1,6.1,6.2,6.2,6.2,6.2,6.1,6,5.9,5.9,5.9
Florida,4.6,4.5,4.4,4.3,4.2,4.1,4.1,4,3.9,3.9,3.9,3.9
Georgia,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.5,4.5,4.5,4.5
Hawaii,2.7,2.7,2.6,2.5,2.4,2.4,2.3,2.2,2.2,2.1,2.1,2.1
Idaho,3.5,3.4,3.3,3.3,3.2,3.2,3.1,3.1,3,3,3,3
Illinois,5.2,5.1,5,4.9,4.9,4.9,5,5,5,4.9,4.9,4.9
Indiana,3.8,3.7,3.6,3.5,3.5,3.5,3.6,3.6,3.5,3.5,3.4,3.4
Iowa,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3,3,2.9,2.9,2.9
Kansas,3.9,3.8,3.7,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5
Kentucky,5.2,5.1,5.2,5.2,5.1,5.1,5,4.9,4.7,4.6,4.5,4.5
Louisiana,5.8,5.7,5.6,5.4,5.3,5.2,5,4.9,4.8,4.7,4.7,4.7
Maine,3.4,3.3,3.3,3.3,3.4,3.5,3.5,3.4,3.3,3.2,3.1,3.1
Maryland,4.3,4.3,4.2,4.2,4.1,4.1,4.1,4,4,4,4.1,4.1
Massachusetts,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.6,3.5,3.5,3.5
Michigan,5,4.8,4.6,4.4,4.4,4.4,4.5,4.6,4.7,4.7,4.7,4.7
Minnesota,3.8,3.7,3.6,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.3
Mississippi,5.4,5.4,5.3,5.3,5.3,5.2,5.1,5,4.9,4.8,4.8,4.8
Missouri,4.1,4,3.9,3.8,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.7
Montana,4,4,4,4,4,4,4,4.1,4.1,4.1,4.1,4.1
Nebraska,3.1,3,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Nevada,5.3,5.2,5.2,5.1,5.1,5.1,5,4.9,4.9,4.9,4.9,4.9
New Hampshire,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6
New Jersey,4.6,4.6,4.5,4.5,4.5,4.6,4.6,4.7,4.7,4.7,4.7,4.7
New Mexico,6.5,6.4,6.3,6.3,6.2,6.1,6.1,6,6,6,6,6
New York,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
North Carolina,4.9,4.8,4.7,4.6,4.5,4.4,4.4,4.4,4.4,4.5,4.5,4.5
North Dakota,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6
Ohio,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5,5,4.9,4.9,4.9
Oklahoma,4.6,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.1,4.1
Oregon,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,4.1
Pennsylvania,5.2,5.1,5,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8
Rhode Island,4.6,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5
South Carolina,4.5,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
South Dakota,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4
Tennessee,4.5,4.4,4.2,4,3.8,3.6,3.5,3.4,3.3,3.3,3.3,3.3
Texas,4.8,4.7,4.6,4.5,4.4,4.2,4.1,4,4,3.9,3.9,4
Utah,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.2
Vermont,3.1,3.1,3.1,3.1,3.1,3,3,3,2.9,2.9,2.9,2.9
Virginia,4,4,3.9,3.8,3.8,3.7,3.7,3.7,3.6,3.6,3.6,3.6
Washington,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7
West Virginia,5.3,5.1,5,5,5,5,5.1,5.2,5.3,5.4,5.4,5.4
Wisconsin,3.5,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2
Wyoming,4.7,4.5,4.3,4.1,4,4,4,4.1,4.1,4.2,4.2,4.1
